timestamp,meter_reading,air_temperature,cloud_coverage,dew_temperature,precip_depth_1_hr,sea_level_pressure,wind_speed,air_temperature1
2016-01-30 08:00:00,43.6839,8.3,0.0,6.1,0.0,0,2.1,-2.299999999999999
2016-01-31 05:00:00,37.5408,12.8,0.0,10.0,0.0,0,0.0,-1.0999999999999996
2016-01-31 17:00:00,52.5571,20.6,0.0,11.7,0.0,0,1.5,1.7000000000000028
2016-04-08 14:00:00,59.3827,21.7,2.0,14.4,0.0,0,3.1,2.8000000000000007
2016-05-01 19:00:00,448.0,31.1,0.0,17.2,0.0,0,4.1,1.1000000000000014
2016-05-20 18:00:00,232.753,25.0,8.0,18.3,0.0,0,10.3,-5.600000000000001
2016-05-20 19:00:00,277.802,25.6,0.0,18.9,0.0,0,5.7,0.6000000000000014
2016-05-20 20:00:00,238.896,28.3,0.0,19.4,0.0,0,3.6,2.6999999999999993
2016-05-20 21:00:00,240.944,30.0,0.0,18.9,0.0,0,5.1,1.6999999999999993
2016-05-20 22:00:00,252.547,27.8,0.0,20.0,0.0,0,5.7,-2.1999999999999993
2016-05-20 23:00:00,236.166,27.2,0.0,19.4,0.0,0,0.0,-0.6000000000000014
2016-05-21 00:00:00,249.817,26.7,6.0,19.4,0.0,0,0.0,-0.5
2016-05-21 01:00:00,246.404,25.6,0.0,20.6,0.0,0,0.0,-1.0999999999999979
2016-05-21 02:00:00,247.087,26.1,0.0,20.0,0.0,0,1.5,0.5
2016-05-21 03:00:00,252.547,25.0,0.0,20.6,0.0,0,0.0,-1.1000000000000014
2016-05-21 04:00:00,244.357,25.0,0.0,20.6,0.0,0,1.5,0.0
2016-05-21 05:00:00,260.738,23.9,0.0,20.6,0.0,0,4.1,-1.1000000000000014
2016-05-21 06:00:00,247.769,23.3,8.0,20.6,0.0,0,1.5,-0.5999999999999979
2016-05-21 07:00:00,253.23,22.8,0.0,21.1,5.0,0,5.1,-0.5
2016-05-21 08:00:00,273.024,22.8,0.0,21.1,0.0,0,2.1,0.0
2016-05-21 09:00:00,314.66,22.8,0.0,21.1,0.0,0,0.0,0.0
